slug,code_commune,nom_ville,code_postal,note_globale,environnement,transports,securite,sante,sports_et_loisirs,culture,enseignement,commerces,qualite_de_vie
cap-d-ail_6032,6032,Cap D'Ail,6320,6.4,6.75,5.63,6.63,7.13,6.25,6.5,5.63,4.88,6.63
carros_6033,6033,Carros,6510,7.2,7.43,5.71,5.71,6.57,7.71,7.14,7.29,7.0,7.57
chateauneuf-grasse_6038,6038,Chateauneuf Grasse,6740,7.29,8.0,6.0,8.33,6.0,7.33,8.0,7.67,6.67,7.33
la-colle-sur-loup_6044,6044,La Colle Sur Loup,6480,7.16,8.6,4.4,6.8,7.2,7.6,6.4,7.4,5.4,7.6
contes_6048,6048,Contes,6390,5.19,3.0,4.0,3.75,7.0,6.75,6.25,6.75,5.5,5.0
drap_6054,6054,Drap,6340,4.09,4.0,4.0,3.67,4.5,4.92,5.08,4.83,3.08,3.92
gattieres_6064,6064,Gattieres,6510,6.41,7.5,5.5,3.5,5.0,7.5,7.0,3.0,7.5,7.0
la-gaude_6065,6065,La Gaude,6610,8.92,9.0,6.33,8.67,7.83,8.33,9.0,9.33,8.17,9.5
grasse_6069,6069,Grasse,6130,5.04,4.74,4.25,3.57,6.6,5.74,5.83,6.23,5.71,4.75
levens_6075,6075,Levens,6670,6.69,7.33,6.0,7.33,5.33,7.33,5.67,5.0,4.33,7.33
mandelieu-la-napoule_6079,6079,Mandelieu La Napoule,6210,6.99,6.88,5.44,7.94,6.84,7.19,5.66,6.72,6.13,7.38
menton_6083,6083,Menton,6500,5.97,6.16,5.18,6.07,5.66,5.57,5.77,5.96,5.3,6.22
mouans-sartoux_6084,6084,Mouans Sartoux,6370,5.68,4.92,5.88,4.81,6.12,7.08,7.58,6.23,5.23,5.38
mougins_6085,6085,Mougins,6250,7.02,6.72,5.15,7.31,7.95,7.23,7.0,7.1,6.54,7.15
nice_6088,6088,Nice,6000,6.31,6.16,6.46,5.31,6.84,6.92,6.12,6.32,7.13,6.22
pegomas_6090,6090,Pegomas,6580,6.09,6.42,3.0,6.0,5.42,4.75,2.83,5.75,6.5,7.08
peymeinade_6095,6095,Peymeinade,6530,6.9,7.42,2.67,6.83,7.25,6.42,5.92,7.08,6.83,7.5
roquebrune-cap-martin_6104,6104,Roquebrune Cap Martin,6190,5.36,5.71,4.57,5.67,5.62,5.19,3.67,5.05,4.14,5.76
roquefort-les-pins_6105,6105,Roquefort Les Pins,6330,8.33,9.0,4.29,8.57,8.57,7.14,8.14,8.29,7.29,9.0
